"language","id","productCode","active","name","description","benefits","brand","width","height","depth","diameter","volume","weight","countryOfOrigin","customsCode","listImage","packaging.width","packaging.height","packaging.depth","packaging.volume","packaging.capacity","packaging.weight","materials","imprintRequired","imprintTemplate","price.type","price.currency","minQty.1","maxQty.1","price.1","minQty.2","maxQty.2","price.2","minQty.3","maxQty.3","price.3","minQty.4","maxQty.4","price.4","minQty.5","maxQty.5","price.5","minQty.6","maxQty.6","price.6","minQty.7","maxQty.7","price.7","minQty.8","maxQty.8","price.8","minQty.9","maxQty.9","price.9","minQty.10","maxQty.10","price.10"
"de","01t1n00000COHt9AAH","3460001025","1","BIC® Media Clic Kugelschreiber","Das Schreibgerät par excellence unter den Werbegeschenken, die Nummer 1 unserer Kunden, das Original. Vielfältige Druckmöglichkeiten auf Schaft und Clip in bis zu 4 Farben und tausende von Farbkombinationen für maximale Personalisierung! Durchschnittliche Schreiblänge 1,4 km.","Die Marke BIC® wird von 9 von 10 Personen wiedererkannt: Verbinden Sie Ihren Namen mit einem hochwertigen vertrauenswürdigen Produkt. | Mix & Match Farbkomponenten, um mehr als 11.600 verschiedene Kombinationen zu erstellen! | Vollständige in-house Herstellung in Tarragona, Spanien. | Äußerst robuster Clip, der 6,8 kg Kraft standhält, ohne zu brechen: Langanhaltende Marken-Wirkung! | Zuverlässiger Klick-Mechanismus: Sie können mehr als 10.000 Mal auf Ihren BIC® Media Clic klicken! | Der perfekt kugelförmige Wolfram-Carbidball trägt zu zuverlässigem, gleichmäßigem Tintenfluss beim Schreiben bei. | Tinte: hohe Qualität, schnelles Trocknen und reibungsloses Schreiben. Durchschnittliche Schreiblänge 1,4 km.","BIC®","1.30 cm","14.70 cm","0.90 cm","0.90 cm","17.20 cm3","8.20 g","Spanien","9608109200","https://api.everisbigcontent.com/edms/rest/v1/links/d6-oIxBICkPHoykoJMW5Ub2OFk_0jAXUDNfobjaDDQZBmWYLa_HmBFrC8RBRN211HPHSVpfypKNw9Zp__O_RRVsT4lQw0W3p5Uk2l9c1uQIuU-fSx0rzYJCUf08q6CAt1cFzapNDdUJamtNsBrQqB8Pg8EmHMz0ZQEoCy_DTPRk=","40.00 cm","16.50 cm","15.80 cm","10428.00 cm3","500 u.","4100.00 g","Kunststoff","1","https://api.everisbigcontent.com/edms/rest/v1/links/hMy4MQQxjsNM0ap0UcB6LlfcZhYrLl9KRzU2oQxbQ7nRh5ysGFo9ny3pEqnvIoGCEnBrp2UmB53Yhe84nyNxRm4Y8Uyy9DvsWmFIvjO8z9SaCXwu7yxSyhh29bW6tJW6OlIXbuxTkI-Sd6Iru6kfyRcIVX_HDf0V0B7DGVvnPD8=","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"en","01t1n00000COHt9AAH","3460001025","1","BIC® Media Clic ballpen","The promotional writing instrument of excellence, our number one, the original. Multiple printing possibilities on the barrel and on the clip in up to 4 colours, and thousands of colour combinations for maximum personalisation! Writing length up to 1.4 km!","BIC® brand is recognised by 9 out of 10 people: associate your name with a high-quality trusted product. | Mix & Match frosted and opaque colour components to create more than 11,600 different combinations! | Full in-house manufacturing. | Unbreakable clip designed to withstand 6,8 kg of force without breaking: long-lasting brand impact! | Reliable plunger action mechanism: you can click your BIC® more than 10,000 times! | The perfectly spherical tungsten carbide ball contributes to consistent writing. | Long-life ink: high quality, quick drying and smooth writing.","BIC®","1.30 cm","14.70 cm","0.90 cm","0.90 cm","17.20 cm3","8.20 g","Spain","9608109200","https://api.everisbigcontent.com/edms/rest/v1/links/d6-oIxBICkPHoykoJMW5Ub2OFk_0jAXUDNfobjaDDQZBmWYLa_HmBFrC8RBRN211HPHSVpfypKNw9Zp__O_RRVsT4lQw0W3p5Uk2l9c1uQIuU-fSx0rzYJCUf08q6CAt1cFzapNDdUJamtNsBrQqB8Pg8EmHMz0ZQEoCy_DTPRk=","40.00 cm","16.50 cm","15.80 cm","10428.00 cm3","500 u.","4100.00 g","Plastic","1","https://api.everisbigcontent.com/edms/rest/v1/links/hMy4MQQxjsNM0ap0UcB6LlfcZhYrLl9KRzU2oQxbQ7nRh5ysGFo9ny3pEqnvIoGCEnBrp2UmB53Yhe84nyNxRm4Y8Uyy9DvsWmFIvjO8z9SaCXwu7yxSyhh29bW6tJW6OlIXbuxTkI-Sd6Iru6kfyRcIVX_HDf0V0B7DGVvnPD8=","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"es","01t1n00000COHt9AAH","3460001025","1","BIC® Media Clic bolígrafo","El instrumento de escritura promocional por excelencia, nuestro número uno, el original. ¡Múltiples posibilidades de impresión en el cuerpo y en el clip hasta 4 colores, y miles de combinaciones de colores para una máxima personalización!","La marca Bic® es reconocida por 9 de cada 10 personas: asocie su nombre con un producto de confianza de alta calidad. | ¡Mezcle y combina los componentes de color esmerilado y opaco para crear más de 11,600 combinaciones diferentes! | Fabricación completa interna. | Clip inquebrantable diseñado para resistir 6,8 kg de fuerza sin romperse: ¡el impacto de la marca duradero! | Mecanismo de acción confiable del émbolo: ¡puede hacer clic en su BIC® más de 10,000 veces! | La pelota de carburo de tungsteno perfectamente esférica contribuye a una escritura constante. | Tinta de larga vida: alta calidad, secado rápido y escritura suave","BIC®","1.30 cm","14.70 cm","0.90 cm","0.90 cm","17.20 cm3","8.20 g","España","9608109200","https://api.everisbigcontent.com/edms/rest/v1/links/d6-oIxBICkPHoykoJMW5Ub2OFk_0jAXUDNfobjaDDQZBmWYLa_HmBFrC8RBRN211HPHSVpfypKNw9Zp__O_RRVsT4lQw0W3p5Uk2l9c1uQIuU-fSx0rzYJCUf08q6CAt1cFzapNDdUJamtNsBrQqB8Pg8EmHMz0ZQEoCy_DTPRk=","40.00 cm","16.50 cm","15.80 cm","10428.00 cm3","500 u.","4100.00 g","Plástico","1","https://api.everisbigcontent.com/edms/rest/v1/links/hMy4MQQxjsNM0ap0UcB6LlfcZhYrLl9KRzU2oQxbQ7nRh5ysGFo9ny3pEqnvIoGCEnBrp2UmB53Yhe84nyNxRm4Y8Uyy9DvsWmFIvjO8z9SaCXwu7yxSyhh29bW6tJW6OlIXbuxTkI-Sd6Iru6kfyRcIVX_HDf0V0B7DGVvnPD8=","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fi","01t1n00000COHt9AAH","3460001025","1","BIC® Media Clic kuulakärkikynä","The promotional writing instrument of excellence, our number one, the original. Multiple printing possibilities on the barrel and on the clip in up to 4 colours, and thousands of colour combinations for maximum personalisation!","BIC® brand is recognised by 9 out of 10 people: associate your name with a high-quality trusted product. | Mix & Match frosted and opaque colour components to create more than 11,600 different combinations! | Full in-house manufacturing. | Unbreakable clip designed to withstand 6,8 kg of force without breaking: long-lasting brand impact! | Reliable plunger action mechanism: you can click your BIC® more than 10,000 times! | The perfectly spherical tungsten carbide ball contributes to consistent writing. | Long-life ink: high quality, quick drying and smooth writing.","BIC®","1.30 cm","14.70 cm","0.90 cm","0.90 cm","17.20 cm3","8.20 g","Espanja","9608109200","https://api.everisbigcontent.com/edms/rest/v1/links/d6-oIxBICkPHoykoJMW5Ub2OFk_0jAXUDNfobjaDDQZBmWYLa_HmBFrC8RBRN211HPHSVpfypKNw9Zp__O_RRVsT4lQw0W3p5Uk2l9c1uQIuU-fSx0rzYJCUf08q6CAt1cFzapNDdUJamtNsBrQqB8Pg8EmHMz0ZQEoCy_DTPRk=","40.00 cm","16.50 cm","15.80 cm","10428.00 cm3","500 u.","4100.00 g","Plastic","1","https://api.everisbigcontent.com/edms/rest/v1/links/hMy4MQQxjsNM0ap0UcB6LlfcZhYrLl9KRzU2oQxbQ7nRh5ysGFo9ny3pEqnvIoGCEnBrp2UmB53Yhe84nyNxRm4Y8Uyy9DvsWmFIvjO8z9SaCXwu7yxSyhh29bW6tJW6OlIXbuxTkI-Sd6Iru6kfyRcIVX_HDf0V0B7DGVvnPD8=","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fr","01t1n00000COHt9AAH","3460001025","1","BIC® Media Clic bille","L’outil d’écriture publicitaire par excellence, notre numéro un, l’original. De nombreuses possibilités d’imprimer jusqu'à 4 couleurs sur le corps et sur le clip, et des milliers de combinaisons de teintes pour une personnalisation maximale!","La marque BIC® est reconnue par 9 personnes sur 10: associez votre nom à un produit de confiance de haute qualité. | Mélanger et assortir des composants de couleur givrés et opaques pour créer plus de 11 600 combinaisons différentes! | Fabrication interne complète. | Clip incassable conçu pour résister à 6,8 kg de force sans se casser: impact de marque durable! | Mécanisme d'action de piston fiable: vous pouvez cliquer sur votre BIC® plus de 10 000 fois! | La boule en carbure de tungstène parfaitement sphérique contribue à une écriture cohérente. | Encre longue durée: de haute qualité, séchage rapide et écriture fluide","BIC®","1.30 cm","14.70 cm","0.90 cm","0.90 cm","17.20 cm3","8.20 g","Espagne","9608109200","https://api.everisbigcontent.com/edms/rest/v1/links/d6-oIxBICkPHoykoJMW5Ub2OFk_0jAXUDNfobjaDDQZBmWYLa_HmBFrC8RBRN211HPHSVpfypKNw9Zp__O_RRVsT4lQw0W3p5Uk2l9c1uQIuU-fSx0rzYJCUf08q6CAt1cFzapNDdUJamtNsBrQqB8Pg8EmHMz0ZQEoCy_DTPRk=","40.00 cm","16.50 cm","15.80 cm","10428.00 cm3","500 u.","4100.00 g","Plastique","1","https://api.everisbigcontent.com/edms/rest/v1/links/hMy4MQQxjsNM0ap0UcB6LlfcZhYrLl9KRzU2oQxbQ7nRh5ysGFo9ny3pEqnvIoGCEnBrp2UmB53Yhe84nyNxRm4Y8Uyy9DvsWmFIvjO8z9SaCXwu7yxSyhh29bW6tJW6OlIXbuxTkI-Sd6Iru6kfyRcIVX_HDf0V0B7DGVvnPD8=","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"it","01t1n00000COHt9AAH","3460001025","1","BIC® Media Clic penna a sfera","Lo strumento di scrittura promozionale per eccellenza, il nostro numero uno, l'originale. Molteplici possibilità di stampa sul corpo e sulla clip fino a 4 colori e migliaia di combinazioni di colore per la massima personalizzazione!","Il marchio BIC® è riconosciuto da 9 persone su 10: associa il tuo nome a un prodotto di alta qualità. | Mescola e abbina componenti a colori glassati e opachi per creare più di 11.600 combinazioni diverse! | Produzione interna. | Clip infrangibile progettata per resistere a 6,8 kg di forza senza rompere: impatto del marchio di lunga durata! | Meccanismo di azione dello stantuffo affidabile: puoi fare clic sul tuo BIC® più di 10.000 volte! | La palla in carburo di tungsteno perfettamente sferiche contribuisce a una scrittura costante. | Inchiostro di lunga durata: alta qualità, asciugatura rapida e scrittura liscia","BIC®","1.30 cm","14.70 cm","0.90 cm","0.90 cm","17.20 cm3","8.20 g","Spagna","9608109200","https://api.everisbigcontent.com/edms/rest/v1/links/d6-oIxBICkPHoykoJMW5Ub2OFk_0jAXUDNfobjaDDQZBmWYLa_HmBFrC8RBRN211HPHSVpfypKNw9Zp__O_RRVsT4lQw0W3p5Uk2l9c1uQIuU-fSx0rzYJCUf08q6CAt1cFzapNDdUJamtNsBrQqB8Pg8EmHMz0ZQEoCy_DTPRk=","40.00 cm","16.50 cm","15.80 cm","10428.00 cm3","500 u.","4100.00 g","Plastica","1","https://api.everisbigcontent.com/edms/rest/v1/links/hMy4MQQxjsNM0ap0UcB6LlfcZhYrLl9KRzU2oQxbQ7nRh5ysGFo9ny3pEqnvIoGCEnBrp2UmB53Yhe84nyNxRm4Y8Uyy9DvsWmFIvjO8z9SaCXwu7yxSyhh29bW6tJW6OlIXbuxTkI-Sd6Iru6kfyRcIVX_HDf0V0B7DGVvnPD8=","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"nl","01t1n00000COHt9AAH","3460001025","1","BIC® Media Clic balpen","Het promotionele schrijfproduct bij uitstek, onze nummer één, de originele. Talrijke opdrukmogelijkheden op cilinder en clip en duizenden kleurencombinaties.","BIC® brand is recognised by 9 out of 10 people: associate your name with a high-quality trusted product. | Mix & Match frosted and opaque colour components to create more than 11,600 different combinations! | Full in-house manufacturing. | Unbreakable clip designed to withstand 6,8 kg of force without breaking: long-lasting brand impact! | Reliable plunger action mechanism: you can click your BIC® more than 10,000 times! | The perfectly spherical tungsten carbide ball contributes to consistent writing. | Long-life ink: high quality, quick drying and smooth writing","BIC®","1.30 cm","14.70 cm","0.90 cm","0.90 cm","17.20 cm3","8.20 g","Spanje","9608109200","https://api.everisbigcontent.com/edms/rest/v1/links/d6-oIxBICkPHoykoJMW5Ub2OFk_0jAXUDNfobjaDDQZBmWYLa_HmBFrC8RBRN211HPHSVpfypKNw9Zp__O_RRVsT4lQw0W3p5Uk2l9c1uQIuU-fSx0rzYJCUf08q6CAt1cFzapNDdUJamtNsBrQqB8Pg8EmHMz0ZQEoCy_DTPRk=","40.00 cm","16.50 cm","15.80 cm","10428.00 cm3","500 u.","4100.00 g","Plastiek","1","https://api.everisbigcontent.com/edms/rest/v1/links/hMy4MQQxjsNM0ap0UcB6LlfcZhYrLl9KRzU2oQxbQ7nRh5ysGFo9ny3pEqnvIoGCEnBrp2UmB53Yhe84nyNxRm4Y8Uyy9DvsWmFIvjO8z9SaCXwu7yxSyhh29bW6tJW6OlIXbuxTkI-Sd6Iru6kfyRcIVX_HDf0V0B7DGVvnPD8=","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pt","01t1n00000COHt9AAH","3460001025","1","BIC® Media Clic esferográfica","O instrumento de escrita promocional por excelência, o nosso número um, o original. Várias possibilidades de impressão no cilindro e no clipe e milhares de combinações coloridas.","BIC® brand is recognised by 9 out of 10 people: associate your name with a high-quality trusted product. | Mix & Match frosted and opaque colour components to create more than 11,600 different combinations! | Full in-house manufacturing. | Unbreakable clip designed to withstand 6,8 kg of force without breaking: long-lasting brand impact! | Reliable plunger action mechanism: you can click your BIC® more than 10,000 times! | The perfectly spherical tungsten carbide ball contributes to consistent writing. | Long-life ink: high quality, quick drying and smooth writing","BIC®","1.30 cm","14.70 cm","0.90 cm","0.90 cm","17.20 cm3","8.20 g","Espanha","9608109200","https://api.everisbigcontent.com/edms/rest/v1/links/d6-oIxBICkPHoykoJMW5Ub2OFk_0jAXUDNfobjaDDQZBmWYLa_HmBFrC8RBRN211HPHSVpfypKNw9Zp__O_RRVsT4lQw0W3p5Uk2l9c1uQIuU-fSx0rzYJCUf08q6CAt1cFzapNDdUJamtNsBrQqB8Pg8EmHMz0ZQEoCy_DTPRk=","40.00 cm","16.50 cm","15.80 cm","10428.00 cm3","500 u.","4100.00 g","Plástico","1","https://api.everisbigcontent.com/edms/rest/v1/links/hMy4MQQxjsNM0ap0UcB6LlfcZhYrLl9KRzU2oQxbQ7nRh5ysGFo9ny3pEqnvIoGCEnBrp2UmB53Yhe84nyNxRm4Y8Uyy9DvsWmFIvjO8z9SaCXwu7yxSyhh29bW6tJW6OlIXbuxTkI-Sd6Iru6kfyRcIVX_HDf0V0B7DGVvnPD8=","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sv","01t1n00000COHt9AAH","3460001025","1","BIC® Media Clic Kulpenna","Reklampennans ultimata ypperlighet, vår nummer 1, originalet! Flera tryckmöjligheter på kropp och klips i upp till 4 färger, och tusentals färgkombinationer för maximal personalisering!","BIC®-varumärket känns igen av 9 av 10 personer: koppla ditt namn till en pålitlig produkt av hög kvalitet. | Mixa & Matcha frostade och opaka färgkomponenter för att skapa mer än 11 600 olika kombinationer! | Helt egen tillverkning. | Obrytbart clips designat för att tåla en kraft på 6,8 kg utan att brytas: långvarig varumärkespåverkan! | Pålitlig handlingsmekanism: du kan klicka på din BIC® mer än 10 000 gånger! | Den perfekt sfäriska volframkarbidbollen bidrar till konsekvent skrivning. | Bläck med lång livslängd: hög kvalitet, snabbtorkande och smidig skrivning.","BIC®","1.30 cm","14.70 cm","0.90 cm","0.90 cm","17.20 cm3","8.20 g","Spanien","9608109200","https://api.everisbigcontent.com/edms/rest/v1/links/d6-oIxBICkPHoykoJMW5Ub2OFk_0jAXUDNfobjaDDQZBmWYLa_HmBFrC8RBRN211HPHSVpfypKNw9Zp__O_RRVsT4lQw0W3p5Uk2l9c1uQIuU-fSx0rzYJCUf08q6CAt1cFzapNDdUJamtNsBrQqB8Pg8EmHMz0ZQEoCy_DTPRk=","40.00 cm","16.50 cm","15.80 cm","10428.00 cm3","500 u.","4100.00 g","Plastic","1","https://api.everisbigcontent.com/edms/rest/v1/links/hMy4MQQxjsNM0ap0UcB6LlfcZhYrLl9KRzU2oQxbQ7nRh5ysGFo9ny3pEqnvIoGCEnBrp2UmB53Yhe84nyNxRm4Y8Uyy9DvsWmFIvjO8z9SaCXwu7yxSyhh29bW6tJW6OlIXbuxTkI-Sd6Iru6kfyRcIVX_HDf0V0B7DGVvnPD8=","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"de","01t1n00000COG89AAH","3460001100","1","BIC® 4 Colours® Kugelschreiber","Einfach, einfallsreich, zuverlässig und legendär. 4 verschiedene Tintenfarben in einem Kugelschreiber: blau, schwarz, rot und grün! Eine Schreibikone, die immer in Mode bleibt. Vollfarbdruck in höchster Qualität - mit BritePix Digital. Die BIC® 4 Colours® Kugelschreiber haben eine durchschnittliche Schreiblänge von 8.000 m (SGS-Tests - durchschnittliche Schreiblänge für blaue, schwarze, rote und grüne Tinte). Unser legendärer BIC® 4 Colours® ist jetzt nachhaltiger, mit 13 % weniger Kunststoff im oberen Teil!","4 Kugelschreiber in 1! | Große Druckfläche auf dem Gehäuse, fast 360°-Druck | Zuverlässiger Einzugsmechanismus, die Minen blockieren sich nicht gegenseitig | Vollständig eigengefertigt | Die perfekte, runde Hartmetallkugel aus Wolframkarbid sichert das gleichmäßige Schreiben | Kultiges Design - seit über 50 Jahren Trendsetter bei Schreibgeräten.","BIC®","1.60 cm","14.40 cm","1.10 cm","1.10 cm","25.34 cm3","12.80 g","Frankreich","9608109200","https://api.everisbigcontent.com/edms/rest/v1/links/eYLFBNE-HtlxZ0gOAX8yclgRYCwquF8_814RFltSwwADyG_XJxy8li1nTE28bnVbbYhzW0hcezBVvWpd_Vls72rbzPtL9Xnezo3Xj6cQLF5-Lw4aSMD3PNM64AiiEr5OqA73ivHtrBU3I1k4xvn9rinbKWNPEsxn2LfAc5V7jxI=","32.40 cm","13.60 cm","15.20 cm","6697.73 cm3","250 u.","3200.00 g","Kunststoff","1","https://api.everisbigcontent.com/edms/rest/v1/links/ebHwSC1WQIQz-2BM7BXMBNYNSJzDl6oSNrSW7CDZqX5as6eDJVxWla5Haw3UMkONK5FdSqfHzNtBYL0y9PssYrC1FaKNEx6FHeyy7GQv1gRaDRz4KDc0LIvxLgCZjvALvTTelzPHMx1xS6FKj4yo6BOmmCrnjHJJiHmg5e--7U4=","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
